"Freq [GHz]","dB(S(1,1)) []"
2.188,-0.786209967022879
2.189,-0.789069145274877
2.19,-0.79195968045729
2.191,-0.794882033283701
2.192,-0.797836672675693
2.193,-0.800824075934805
2.194,-0.803844728918584
2.195,-0.806899126220882
2.196,-0.809987771356515
2.197,-0.813111176950396
2.198,-0.81626986493123
2.199,-0.819464366730005
2.2,-0.822695223483225
2.201,-0.825962986241214
2.202,-0.829268216181478
2.203,-0.83261148482738
2.204,-0.835993374272165
2.205,-0.839414477408561
2.206,-0.842875398164101
2.207,-0.846376751742299
2.208,-0.849919164869831
2.209,-0.853503276049989
2.21,-0.857129735822407
2.211,-0.860799207029421
2.212,-0.864512365089137
2.213,-0.868269898275437
2.214,-0.872072508005074
2.215,-0.875920909132149
2.216,-0.879815830250089
2.217,-0.883758014001405
2.218,-0.887748217395376
2.219,-0.891787212134024
2.22,-0.89587578494643
2.221,-0.900014737931825
2.222,-0.904204888911555
2.223,-0.908447071790284
2.224,-0.912742136926671
2.225,-0.917090951513741
2.226,-0.921494399969355
2.227,-0.925953384336948
2.228,-0.930468824696926
2.229,-0.935041659589032
2.23,-0.93967284644594
2.231,-0.94436336203845
2.232,-0.949114202932728
2.233,-0.953926385959696
2.234,-0.958800948697292
2.235,-0.963738949965646
2.236,-0.968741470335758
2.237,-0.973809612652091
2.238,-0.978944502569354
2.239,-0.984147289104114
2.24,-0.98941914520148
2.241,-0.994761268317488
2.242,-1.00017488101756
2.243,-1.00566123159164
2.244,-1.01122159468631
2.245,-1.01685727195477
2.246,-1.02256959272485
2.247,-1.02835991468582
2.248,-1.03422962459467
2.249,-1.04018013900218
2.25,-1.04621290499973
2.251,-1.05232940098724
2.252,-1.05853113746309
2.253,-1.06481965783661
2.254,-1.07119653926386
2.255,-1.07766339350758
2.256,-1.08422186782181
2.257,-1.09087364586228
2.258,-1.09762044862316
2.259,-1.10446403540119
2.26,-1.11140620478791
2.261,-1.11844879569102
2.262,-1.1255936883858
2.263,-1.13284280559754
2.264,-1.14019811361599
2.265,-1.14766162344291
2.266,-1.15523539197376
2.267,-1.16292152321472
2.268,-1.17072216953614
2.269,-1.17863953296371
2.27,-1.18667586650848
2.271,-1.19483347553711
2.272,-1.2031147191838
2.273,-1.21152201180492
2.274,-1.22005782447834
2.275,-1.22872468654837
2.276,-1.23752518721839
2.277,-1.24646197719232
2.278,-1.25553777036691
2.279,-1.26475534557654
2.28,-1.27411754839204
2.281,-1.28362729297586
2.282,-1.29328756399508
2.283,-1.30310141859453
2.284,-1.31307198843194
2.285,-1.32320248177744
2.286,-1.33349618567943
2.287,-1.3439564681993
2.288,-1.3545867807174
2.289,-1.3653906603126
2.29,-1.37637173221827
2.291,-1.38753371235711
2.292,-1.39888040995788
2.293,-1.41041573025675
2.294,-1.42214367728629
2.295,-1.43406835675541
2.296,-1.44619397902323
2.297,-1.45852486217047
2.298,-1.47106543517182
2.299,-1.4838202411728
2.3,-1.49679394087516
2.301,-1.50999131603451
2.302,-1.52341727307435
2.303,-1.53707684682089
2.304,-1.5509752043629
2.305,-1.56511764904128
2.306,-1.57950962457314
2.307,-1.59415671931537
2.308,-1.60906467067291
2.309,-1.62423936965701
2.31,-1.63968686559924
2.311,-1.65541337102698
2.312,-1.6714252667066
2.313,-1.68772910686047
2.314,-1.70433162456464
2.315,-1.72123973733398
2.316,-1.73846055290174
2.317,-1.75600137520147
2.318,-1.77386971055856
2.319,-1.79207327409996
2.32,-1.81061999639029
2.321,-1.82951803030323
2.322,-1.84877575813756
2.323,-1.86840179898728
2.324,-1.88840501637602
2.325,-1.90879452616615
2.326,-1.92957970475359
2.327,-1.95077019755987
2.328,-1.97237592783333
2.329,-1.994407105772
2.33,-2.01687423798147
2.331,-2.03978813728117
