-0.27558-0.055488i
0.0064184-0.86617i
-0.29732+0.11005i
0.11261+0.03639i
-0.37028-0.81955i
-0.46425-0.17957i
0.21118-0.013899i
0.15366+0.27322i
-0.4274+0.32384i
-0.72291-0.084799i
-0.79255-0.46723i
-0.85592-0.8428i
-0.34776-0.66649i
-0.3353-0.65456i
-0.77025-0.73104i
-0.79737-0.41658i
-0.72712-0.074445i
-0.38178+0.31413i
0.13166+0.21749i
0.14398-0.096121i
-0.35519-0.052148i
